Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
284;Carlik Jones;PG;24;TOT;5;0;4.6;0.2;1.8;0.111;0;0.2;0;0.2;1.6;0.125;0.111;0.4;0.4;1;0.2;0.4;0.6;1;0.2;0;0.6;0;0.8
284;Carlik Jones;PG;24;DAL;3;0;6.3;0;2.3;0;0;0.3;0;0;2;0;0;0.7;0.7;1;0.3;0.7;1;1.7;0.3;0;1;0;0.7
284;Carlik Jones;PG;24;DEN;2;0;2;0.5;1;0.5;0;0;0;0.5;1;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;1
285;Damian Jones;C;26;SAC;37;5;15.2;2.4;3.8;0.638;0.1;0.4;0.357;2.3;3.4;0.669;0.656;1.3;1.8;0.727;1.4;2.5;3.9;1.1;0.3;0.6;1;2.1;6.3
286;Derrick Jones Jr.;PF;24;CHI;34;8;17.5;2.2;4.1;0.551;0.5;1.2;0.4;1.8;2.9;0.612;0.609;1.2;1.4;0.816;1.3;2.1;3.4;0.6;0.5;0.7;0.5;2.4;6.1
287;Herbert Jones;PF;23;NOP;55;46;29.9;3.6;7.2;0.501;0.7;1.9;0.362;2.9;5.3;0.551;0.549;1.7;1.9;0.85;1.3;2.6;3.9;2.1;1.5;0.9;1.2;3.1;9.6
288;Jemerrio Jones;SF;26;LAL;2;0;7.5;1;1.5;0.667;0;0;0;1;1.5;0.667;0.667;0;0;0;1;0.5;1.5;0;0.5;0;0;1;2
289;Kai Jones;C;21;CHO;17;0;2.8;0.4;0.6;0.636;0.1;0.1;0.5;0.4;0.5;0.667;0.682;0.1;0.2;0.25;0.1;0.4;0.5;0.2;0;0;0.3;0.3;0.9
290;Mason Jones;SG;23;LAL;2;0;4.5;1;4;0.25;0;1;0;1;3;0.333;0.25;0.5;1;0.5;0.5;0.5;1;0;0.5;0;0.5;0.5;2.5
291;Tre Jones;PG;22;SAS;46;4;13.5;2;4;0.5;0.1;0.4;0.15;1.9;3.5;0.543;0.508;0.8;0.9;0.878;0.4;1.5;1.8;2.4;0.4;0;0.5;0.9;4.8
292;Tyus Jones;PG;25;MEM;53;14;20.7;3.2;7;0.461;0.9;2.5;0.358;2.3;4.5;0.519;0.526;0.7;0.8;0.867;0.2;2.2;2.5;4.2;0.9;0;0.7;0.4;8.1
293;DeAndre Jordan;C;33;LAL;31;19;12.9;1.9;2.8;0.67;0;0;0;1.9;2.8;0.67;0.67;0.4;0.8;0.48;1.6;3.9;5.5;0.4;0.3;0.8;0.6;1.6;4.2
294;Cory Joseph;PG;30;DET;47;21;24.4;2.8;6.2;0.452;1;2.4;0.432;1.8;3.9;0.464;0.534;1.4;1.7;0.85;0.4;2.1;2.5;3.9;0.7;0.3;1.4;2.2;8.1
295;Georgios Kalaitzakis;SF;23;MIL;9;0;5.3;0.6;1.2;0.455;0.2;0.4;0.5;0.3;0.8;0.429;0.545;0.4;1;0.444;0.4;0.4;0.9;0;0.1;0.1;0.4;0.9;1.8
296;Frank Kaminsky;C;28;PHO;9;0;20.1;4;7.3;0.545;0.6;1.7;0.333;3.4;5.7;0.608;0.583;2;2.2;0.9;1.2;3.3;4.6;1.4;0.9;0.8;0.6;1.6;10.6
297;Luke Kennard;SG;25;LAC;49;10;27.9;4;9.1;0.439;2.6;6.1;0.434;1.4;3;0.45;0.584;0.9;1;0.882;0.2;3.3;3.6;2.2;0.6;0.1;0.8;1.6;11.6
298;Braxton Key;SF;24;PHI;2;0;3;0.5;1;0.5;0;0.5;0;0.5;0.5;1;0.5;0;0;0;0.5;0.5;1;0.5;0.5;0;1;0.5;1
299;George King;SF;28;DAL;4;0;4.8;0;1.3;0;0;1;0;0;0.3;0;0;0.3;0.5;0.5;0;1.3;1.3;0;0;0;0.3;1;0.3
300;Louis King;SF;22;SAC;10;0;10.4;1.5;4.7;0.319;0.8;2.7;0.296;0.7;2;0.35;0.404;0.7;1;0.7;0;1.2;1.2;0.9;0.2;0.1;0;1.4;4.5
301;Corey Kispert;SF;22;WAS;52;11;19.6;2.4;5.7;0.423;1;3.3;0.31;1.4;2.4;0.581;0.513;0.7;0.8;0.884;0.7;1.9;2.6;0.9;0.3;0.3;0.6;0.9;6.6
302;Maxi Kleber;PF;30;DAL;41;20;25.3;2.6;6.1;0.424;1.7;4.5;0.366;0.9;1.6;0.594;0.56;0.8;1.1;0.773;1.2;4.8;6;1.1;0.5;1;0.7;2.3;7.7
303;Brandon Knight;PG;30;DAL;3;0;18;3;6.7;0.45;1.3;4.3;0.308;1.7;2.3;0.714;0.55;2.7;2.7;1;0;2.3;2.3;2.7;0.3;0;1.3;1.7;10
304;Nathan Knight;PF;24;MIN;28;2;6.9;1;2;0.482;0.1;0.3;0.25;0.9;1.7;0.521;0.5;1.1;1.6;0.711;0.8;1.3;2.1;0.5;0.1;0.3;0.4;1;3.1
305;Kevin Knox;SF;22;TOT;21;0;8;1;2.9;0.344;0.5;1.9;0.282;0.5;1;0.455;0.434;0.5;0.7;0.714;0.5;1.1;1.7;0.4;0.1;0;0.3;0.5;3
305;Kevin Knox;SF;22;NYK;13;0;8.5;1.2;3.1;0.375;0.8;2.2;0.357;0.4;0.9;0.417;0.5;0.5;0.8;0.7;0.6;1.1;1.7;0.2;0.2;0.1;0.4;0.4;3.6
305;Kevin Knox;SF;22;ATL;8;0;7.1;0.8;2.6;0.286;0.1;1.4;0.091;0.6;1.3;0.5;0.31;0.4;0.5;0.75;0.4;1.3;1.6;0.6;0.1;0;0.3;0.8;2
306;John Konchar;SG;25;MEM;52;6;18.6;1.8;3.6;0.495;0.8;1.8;0.421;1;1.8;0.57;0.601;0.4;0.7;0.595;1.1;3.3;4.4;1.4;0.7;0.3;0.4;1.3;4.8
307;Furkan Korkmaz;SG;24;PHI;50;18;23.9;3.2;8.1;0.391;1.3;4.5;0.29;1.9;3.6;0.517;0.472;1.2;1.4;0.833;0.3;2.6;2.9;2.3;0.6;0.1;0.8;1;8.8
308;Luke Kornet;C;26;TOT;4;0;6.8;0.3;2.3;0.111;0;0.5;0;0.3;1.8;0.143;0.111;0.5;0.8;0.667;0.8;0.8;1.5;0.5;0.3;0.3;0;0.5;1
308;Luke Kornet;C;26;CLE;2;0;7.5;0.5;2.5;0.2;0;0.5;0;0.5;2;0.25;0.2;1;1.5;0.667;1;0.5;1.5;0.5;0;0.5;0;0.5;2
308;Luke Kornet;C;26;MIL;1;0;3;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0
308;Luke Kornet;C;26;BOS;1;0;9;0;3;0;0;1;0;0;2;0;0;0;0;0;0;2;2;1;1;0;0;0;0
309;Vit Krejci;SG;21;OKC;6;0;5.2;0.3;1;0.333;0;0.7;0;0.3;0.3;1;0.333;0.3;0.3;1;0;0.8;0.8;0.3;0;0;0.3;0.3;1
